"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"Snora75",62,48,62,51,67,38,60,68,49,55,58,38
"Snora78",91,182,159,156,222,47,161,161,118,124,173,134
"Snora7a",24,87,56,53,106,43,75,90,83,88,80,56
"Snora81",178,164,170,147,268,107,273,281,150,134,115,70
"Snord100",87,126,92,74,150,65,139,148,67,72,80,64
"Snord104",13,34,24,25,54,8,25,59,38,38,90,39
"Snord11",4,5,8,7,3,2,5,9,5,2,2,1
"Snord110",30,49,32,30,57,20,40,30,33,24,15,10
"Snord111",24,27,25,23,57,33,38,31,54,50,38,37
"Snord116",0,0,0,0,0,0,0,0,0,0,0,0
"Snord116l1",0,0,0,0,0,0,0,0,0,0,0,0
"Snord116l2",0,0,0,0,0,0,0,0,0,0,0,0
"Snord118",0,1,2,2,1,0,3,3,3,1,1,0
"Snord12",101,105,104,79,147,64,137,177,109,90,64,85
"Snord123",1,2,1,1,2,0,1,1,8,6,5,9
"Snord14a",1,5,3,7,5,2,2,6,3,1,4,7
"Snord14c",0,0,0,0,0,0,0,0,0,0,0,0
"Snord14d",0,0,0,0,0,0,0,0,0,0,0,0
"Snord15a",14,30,26,30,41,8,31,35,27,33,30,26
"Snord15b",64,75,69,63,116,31,79,75,63,58,97,53
"Snord16a",18,18,16,13,23,13,28,38,13,14,7,9
"Snord17",31,56,63,39,72,32,64,86,46,75,82,59
"Snord19",65,55,50,47,79,43,66,104,67,74,57,45
"Snord1a",0,0,0,0,0,0,0,0,0,0,0,0
"Snord1b",16,15,17,13,24,13,23,26,12,23,3,3
"Snord1c",7,23,18,14,27,11,18,27,13,15,7,10
"Snord2",192,216,210,184,411,157,313,389,191,165,124,97
"Snord22",301,384,341,307,563,246,449,593,322,361,470,342
"Snord23",2,4,0,3,2,1,3,5,0,2,2,3
"Snord32a",67,92,94,69,112,42,104,113,77,71,76,42
"Snord33",6,8,3,5,6,1,5,4,6,1,2,6
"Snord34",221,251,189,153,282,113,210,288,126,100,156,124
"Snord35a",12,26,21,22,27,13,19,29,24,18,9,11
"Snord35b",8,15,11,7,12,3,13,18,8,7,7,9
"Snord37",19,17,16,16,18,4,8,28,15,14,13,25
"Snord38a",6,13,5,5,13,9,6,8,8,4,0,4
"Snord42a",39,46,50,41,69,28,50,42,58,56,28,39
"Snord42b",47,49,36,24,43,25,54,55,52,46,68,41
"Snord43",43,92,90,67,123,55,111,99,84,54,57,41
"Snord45b",16,38,14,22,38,13,29,27,18,20,24,29
"Snord45c",0,0,0,0,0,0,0,0,0,0,0,0
"Snord47",183,164,188,155,243,83,226,216,156,117,19,30
"Snord49a",122,175,130,108,237,83,224,230,176,175,102,87
"Snord49b",30,86,60,51,88,43,96,83,63,54,60,41
"Snord4a",24,45,34,27,54,29,41,51,43,47,21,17
"Snord52",84,104,123,73,197,82,143,192,124,97,69,70
"Snord53",40,52,38,31,59,33,48,65,39,44,56,55
"Snord55",12,33,30,22,34,13,37,46,19,34,55,39
"Snord57",28,31,34,21,44,22,31,30,25,21,31,21
"Snord58b",12,21,15,15,21,12,20,17,17,12,11,7
"Snord61",6,3,0,1,2,1,1,3,2,5,2,0
