ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,MD9-R-EB,MD10-R-EB,MD11-R-EB,MD12-R-EB
Cd248,111.391921,-2.132517411,0.644237141,-3.310143544,0.000932481,0.011748153,254.2971135,108.6045286,58.86119266,23.80484939
Cdc42ep5,496.3978147,-1.047747426,0.300536588,-3.486255808,0.000489832,0.007230649,820.156721,518.1133473,349.2430765,298.0781141
Cdh10,202.3548468,1.803216243,0.64027281,2.81632488,0.004857652,0.038217833,38.82398679,141.4847987,209.9382538,419.172348
Cdh5,679.9136929,-2.352161273,0.480256997,-4.897713702,9.70E-07,4.57E-05,1323.89795,950.5387179,335.5087982,109.7093059
Cdkn1c,1676.571877,-1.466031477,0.234449455,-6.253081191,4.02E-10,4.54E-08,2812.797843,2111.31189,1017.317613,764.8601608
Ceacam15,39.91428828,-5.265550445,0.946212548,-5.564870656,2.62E-08,1.95E-06,69.88317623,85.68797666,0.981019878,3.104980355
Ceacam9,146.3762807,-3.979586789,0.803803225,-4.950946533,7.39E-07,3.64E-05,244.5911168,305.8861492,2.943059633,32.084797
Cebpb,116.0523833,-1.523343811,0.393692628,-3.869373468,0.000109115,0.002315532,200.9141317,143.4775423,60.82323242,58.99462675
Cenpk,529.3762646,1.372989911,0.190764966,7.197285421,6.14E-13,1.40E-10,300.8858977,288.9478283,789.7210015,737.9503311
Cer1,461.2433365,2.587367575,0.421646652,6.136340853,8.44E-10,8.80E-08,185.3845369,77.71700209,895.6711483,686.2006585
Cfap43,77.50023512,1.484244601,0.424756459,3.494342626,0.000475231,0.007074056,39.79458646,41.84761651,119.6844251,108.6743124
Cgnl1,4696.016046,-1.143711746,0.266811786,-4.286586305,1.81E-05,0.000530371,7781.297553,5150.245946,3449.26589,2403.254795
Chrd,187.9697037,1.502733416,0.359842781,4.176083265,2.97E-05,0.000778671,121.3249587,74.72788662,281.5527049,274.2732647
Chst1,326.989472,1.735339229,0.422216484,4.11006982,3.96E-05,0.00099497,103.8541647,198.2779925,379.6546927,626.1710383
Chst15,921.5220506,-1.062962606,0.331132848,-3.210079016,0.001326985,0.015132948,1584.018661,908.6911013,488.5478991,704.8305406
Clgn,144.9884831,1.769345823,0.605237495,2.923390963,0.003462415,0.030501832,35.91218779,95.65169488,146.1719618,302.2180879
Clmp,361.6654834,-1.021049498,0.326652005,-3.125802023,0.001773209,0.018650134,532.8592188,436.4108579,296.2680031,181.1238541
Cmtm3,932.1216348,-1.007451159,0.316513398,-3.18296529,0.001457751,0.016163113,1534.518078,955.520577,741.6510275,496.7968568
Col13a1,305.1177271,-1.70613486,0.617808509,-2.761591715,0.005752036,0.042688591,461.0348432,473.2766153,235.4447706,50.71467914
Col27a1,373.8826379,-1.120958802,0.241988199,-4.632287059,3.62E-06,0.000143025,511.506026,513.1314881,263.8943471,206.9986903
Col3a1,94.07703619,-1.83047445,0.521749413,-3.508340217,0.000450912,0.006826448,196.0611333,97.64443852,41.20283486,41.39973807
Col4a2,4891.356565,-1.240310324,0.324244154,-3.825235728,0.000130647,0.002669061,8483.041115,5263.832334,3709.236157,2109.316655
Cp,47.71101512,1.987716228,0.572830688,3.469989073,0.00052048,0.007562292,15.52959472,22.9165519,70.63343119,81.76448269
Creb3l1,456.4102416,-1.15307282,0.351973714,-3.276019702,0.001052812,0.01280604,787.1563323,472.2802435,337.4708379,228.7335528
Creb3l2,800.3162012,-1.016674291,0.334462588,-3.039725004,0.002367943,0.022891659,1301.574157,840.9378175,659.2453578,399.5074724
Crispld2,75.73164412,-1.319031221,0.425290764,-3.101480997,0.001925552,0.019709927,111.618962,104.6190413,42.18385474,44.50471842
Crmp1,1152.101779,1.374814709,0.408157542,3.368343268,0.000756214,0.010049558,405.710662,876.807203,1214.502609,2111.386642
Ctnna2,71.43117745,1.623449022,0.527628294,3.076880142,0.002091794,0.021061759,27.17679076,42.84398833,86.32974924,129.3741815
Ctnnd2,242.1872178,1.277674058,0.430140492,2.970364526,0.002974466,0.027191175,116.4719604,166.3940942,231.5206911,454.3621253
Ctsh,552.7381053,-1.348269092,0.449031506,-3.002615797,0.002676701,0.025089409,1114.248421,473.2766153,388.4838716,234.9435135
Ctsj,43.72537572,-5.057327955,1.027855737,-4.920270204,8.64E-07,4.16E-05,62.11837887,107.6081567,0,5.174967259
Cxxc5,1950.827131,1.844646027,0.211792983,8.709665444,3.05E-18,1.80E-15,953.1288758,746.2824944,3413.949174,2689.947981
Cyct,49.67068099,2.059460297,0.620433607,3.319388687,0.000902148,0.011493252,15.52959472,22.9165519,59.84221254,100.3943648
Cyp2s1,415.5823845,-1.577438504,0.517974305,-3.045399143,0.002323717,0.022626793,682.3315679,562.9500792,320.7935,96.25439101
Cyyr1,164.0800964,1.030218904,0.383015529,2.689757531,0.007150395,0.049283082,94.14816798,121.5573622,174.6215382,265.9933171
D430019H16Rik,228.423143,1.238167637,0.319395524,3.876596714,0.000105928,0.002270691,110.6483624,161.4122351,302.1541223,339.4778522
Dcaf12l1,380.10156,1.341933702,0.401675874,3.340837201,0.000835262,0.010799131,201.8847313,228.1691472,348.2620566,742.0903049
Dcc,36.96442191,2.78693143,0.667137609,4.177446143,2.95E-05,0.000775871,7.764797359,10.96009004,60.82323242,68.30956781
Dcun1d1,879.0658397,1.078219866,0.163190616,6.607119304,3.92E-11,6.10E-09,551.3006125,578.8920284,1234.123006,1151.947712
Ddx3y,278.2459535,2.279378006,0.371359217,6.13793304,8.36E-10,8.78E-08,79.58917293,110.5972722,571.9345887,350.8627801
Ddx60,45.14335184,2.594334512,0.666866293,3.890336848,0.000100105,0.002164701,8.735397029,16.93832097,62.78527217,92.11441721
Depdc1a,376.6330734,2.055904005,0.222767316,9.228930156,2.73E-20,2.51E-17,143.6487511,148.4594014,632.7578211,581.6663199
Dkkl1,54.89471235,-1.503411069,0.513692559,-2.926674803,0.003426069,0.030310048,76.67737392,85.68797666,32.37365596,24.83984284
Dlg5,8368.97581,-1.220244206,0.279681225,-4.362982207,1.28E-05,0.000409908,13050.68316,10372.23066,6394.287563,3658.701852
Dlx3,209.3240708,-1.559270708,0.491706788,-3.171139277,0.001518423,0.0166952,315.4448927,309.8716365,154.0201208,57.9596333
Dmd,692.4697189,1.661176043,0.410499712,4.046716711,5.19E-05,0.001255327,231.0027214,434.4181142,727.9167492,1376.541291
Dpf3,384.5456548,-1.863966346,0.465794612,-4.001691515,6.29E-05,0.001476547,665.8313735,541.0298992,242.3119098,89.00943685
Dpysl4,141.2183864,1.696665705,0.455934734,3.721290742,0.000198207,0.003683016,49.50058316,83.69523302,167.7543991,263.9233302
Dsel,695.1311523,1.593857179,0.212834816,7.488705149,6.96E-14,1.94E-11,321.2684907,370.6503177,940.7980627,1147.807738
Dsp,12592.41816,-1.294995379,0.298760892,-4.334554536,1.46E-05,0.000446345,19615.81933,16170.11829,9562.981768,5020.753234
Dtna,371.8184201,1.956420126,0.555875629,3.519528514,0.000432315,0.006592129,80.5597726,224.1836599,365.9204144,816.6098334
Dtx4,688.5986699,1.776493013,0.466915359,3.804743149,0.000141951,0.002848851,201.8847313,420.4689087,659.2453578,1472.795682
E430024I08Rik,340.0881504,1.116456058,0.228200473,4.892435341,9.96E-07,4.65E-05,229.0615221,200.2707362,460.0983226,470.9220205
Ebf1,487.1699341,1.996321817,0.485399666,4.112738342,3.91E-05,0.000986892,112.5895617,277.9877382,537.598893,1020.503543
Efemp2,693.1341026,-1.034081884,0.305163809,-3.388612452,0.000702472,0.009514896,1096.777627,766.2099308,549.3711315,360.1777212
Efnb1,1516.773998,-1.209290906,0.33795481,-3.578262154,0.000345886,0.005530818,2439.11697,1796.458394,1211.559549,619.9610776
Eif2s3y,502.5116332,3.114635755,0.372794061,8.35484275,6.55E-17,3.03E-14,78.61857326,129.5283368,1129.153879,672.7457436
Eif5a2,801.6670089,1.17407132,0.17981074,6.529483824,6.60E-11,9.66E-09,478.5056372,506.1568854,1036.938011,1185.067502
Elavl2,923.5505396,1.251291062,0.306317207,4.084951912,4.41E-05,0.001086776,460.0642435,632.6961067,987.8870168,1613.554791
Elavl4,66.04045988,2.271742066,0.50082418,4.536007156,5.73E-06,0.00021252,18.44139373,26.90203918,104.9691269,113.8492797
Elf4,221.968011,-1.174770333,0.356014099,-3.299785983,0.000967586,0.012067085,350.3864808,265.0349046,164.8113394,107.639319
Ell2,1844.379169,1.057355475,0.332274194,3.182177529,0.001461722,0.016182881,894.8928956,1499.539592,1869.823887,3113.260303
Elovl4,573.8797772,1.006798627,0.226597578,4.443112918,8.87E-06,0.000302879,356.2100788,406.5197032,677.8847355,854.9045911
