"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-9"
"Gm6473",0,0.0977,0.1049,0.1068
"Gm2914",0,0,0,0
"Phf3",54.5428,57.5483,61.1941,67.1615
"Gm37522",1.9861,1.803,2.818,3.0929
"Gm37906",4.1898,4.5169,7.8661,6.73
"Ptp4a1",24.0131,21.8188,33.0085,31.0459
"Gm5698",0,0,0,0
"Gm9458",0,0,0,0
"4931428L18Rik",0,0.0315,0.1016,0
"Gm28644",0,0,0,0
"Gm29128",0,0,0,0
"Gm7893",0,0,0,0
"Lgsn",0,0,0,0
"Pih1d3",0,0,0,0
"Gm26145",0,0,0,0
"Gm4850",0,0,0,0
"Gm28645",0,0,0,0
"Gm6489",0,0,0.1825,0
"Eef1a1-ps2",0.0857,0.0884,0,0
"Gm19680",0.3029,0.2343,0.3357,0
"Gm23032",0,0,0,0
"Gm7910",0,0,0,0
"Khdrbs2",0.1225,0.1723,0.1974,0.1633
"Gm25814",0,0,0,0
"Gm37999",0,0,0,0
"Gm37110",0,0,0.078,0
"Gm37911",0.1483,0,0,0.0837
"Gm9839",0,0,0.0884,0.09
"Gm37792",0,0,0.0744,0
"Gm5415",0.0317,0.0327,0,0
"Gm24732",0,0,0,0
"Gm37426",0,0,0,0
"Gm23024",0,0,0,0
"Gm37151",0,0,0,0.0258
"Gm28624",0,0,0,0
"Gm37724",0,0,0,0
"Gm7114",0.064,0.0661,0.071,0.0723
"Gm4785",0.1525,0,0,0
"Gm24901",0,0,0,0
"Gm37591",0,0,0,0
"Gm2987",0.1353,0,0,0
"Gm25792",0,0,0,0
"Gm18799",0.1255,0,0,0
"Gm7933",0.1016,0.1048,0.2253,0
"Gm23453",0,0,0,0
"Prim2",29.1703,25.3552,26.4327,22.8159
"Gm29228",1.0963,0.5654,2.1266,0
"Gm37618",1.4529,0.8839,1.941,1.4714
"Gm17813",3.1434,2.1618,2.7101,4.3355
"1700001G17Rik",2.5773,1.5952,1.857,2.9083
"Gm38173",0.2475,0.0511,0.5488,0.3911
"Rab23",19.8007,20.198,21.3358,24.2636
"Bag2",33.9296,30.3655,31.9649,22.525
"Gm37905",3.3595,2.7725,2.9792,1.5164
"Zfp451",24.6491,24.2713,31.6528,30.0438
"Gm15455",0.224,0.416,0.0497,0.2528
"Bend6",1.7748,2.1763,2.4128,2.3429
"Gm37067",0.1407,0.2904,0.234,0.0794
"Dst",35.087,34.3951,30.2771,31.363
"Gm37354",0.6727,1.2889,0.8523,0.8134
"Gm28631",0,0,0,0
"Gm23792",0,0,1.3655,0
"Gm38157",2.1589,1.1832,1.8697,1.3704
"Mir6896",3.1386,1.6189,6.9582,5.3127
"Gm26788",2.3238,2.6937,3.7974,4.1902
"A930005N03Rik",2.0211,1.9902,1.9349,1.3477
"Gm37958",0,0,0,0
"Gm37385",0,0,0,0
"Gm5266",0.0986,0,0,0
"Gm3052",0,0.0805,0,0.088
"Gm37233",0.2012,0.3396,0.2839,0.516
"Mir5103",0,0,0,0
"Ccdc115",25.3174,31.6939,23.9195,20.6394
"Gm28306",0.8662,1.7872,0.4801,0.7331
"Imp4",41.709,39.5861,37.9791,36.6682
"Ptpn18",6.7938,5.6795,4.362,1.6926
"Gm28417",2.7106,3.2868,2.2667,1.5026
"4930568A12Rik",0.5295,0.2731,0.0978,0
"Prss39",0.2578,0.3546,0.0953,0
"Gm28416",0.7847,1.2142,0.8698,0
"Cfc1",97.7058,66.8161,81.8096,12.3061
"Gm28419",25.0824,14.4302,25.6649,3.8102
"Prss40",2.5579,1.179,1.3875,0.4913
"1700101I19Rik",1.5724,1.3903,2.739,0
"Amer3",29.3441,25.912,22.726,3.9442
"Gm28418",0,0,0,0
"Gm36984",0,0,0,0
"Gm29730",0,0,0,0
"AA619741",0,0,0,0
"Arhgef4",7.9579,7.646,5.7435,2.8448
"Gm37224",1.5481,0,0,0
"Gm37845",0,0,0,0.3642
"Gm38336",3.1909,3.6163,3.1386,2.7894
"Fam168b",118.6639,106.9921,111.9509,100.1956
"Gm37127",7.0184,6.6952,8.1563,7.1536
"Plekhb2",8.19,6.7471,9.0467,7.8339
"Gm19430",0,0,0,0
"Gm37670",0,0,0,0
"Gm8009",0,0,0.2913,0
"Gm38027",0,0,0,0
"Gm25096",0,0,0,0
"Gm37068",0,0.1847,0,0
"Gm25634",0,0,0,0
"Gm28415",0,0,0,0
"1110002O04Rik",0,0,0,0
"Gm8022",0.1267,0.1307,0.1405,0
"Gm37146",0,0,0,0.2792
"Gm33222",0.3011,0.1553,0.1669,0.5096
"4930535G08Rik",0,0,0,0
"Gm38049",0,0,0,0
"Hs6st1",20.175,25.1411,24.1053,35.8296
"Gm37335",0,0,0,0
"Gm33280",1.1086,0.6535,0.8485,0.8043
"Uggt1",42.4082,42.5066,45.1517,45.1404
"Mir6897",1.8477,3.8122,0,0
"Neurl3",0.0712,0.0735,0.1184,0.2009
"Arid5a",0.7308,0.8199,0.8,0.8969
"4930403P22Rik",1.446,1.6575,1.0686,1.0879
"Kansl3",41.1713,39.0363,39.6108,33.4598
"Mir6898",4.4633,0,0,1.6789
"Fer1l5",3.4606,3.5513,3.7761,3.3153
