"","MD-R-EB-5","MD-R-EB-6","MD-R-EB-7","MD-R-EB-8"
"Gm26145",0,0,0,0
"Gm4850",0,0,0,0
"Gm28645",0,0,0,0
"Gm6489",1,2,0,0
"Eef1a1-ps2",0,0,0,0
"Gm19680",3,2,3,2
"Gm23032",0,0,0,0
"Gm7910",0,0,0,0
"Khdrbs2",8,10,5,13
"Gm25814",0,0,0,0
"Gm37999",0,0,0,0
"Gm37110",1,0,0,0
"Gm37911",0,0,0,0
"Gm9839",0,0,0,0
"Gm37792",0,0,0,0
"Gm5415",0,0,0,1
"Gm24732",0,0,0,0
"Gm37426",0,0,0,0
"Gm23024",0,0,0,0
"Gm37151",0,0,0,0
"Gm28624",0,0,0,0
"Gm37724",0,0,0,0
"Gm7114",2,1,0,3
"Gm4785",1,0,0,0
"Gm24901",0,0,0,0
"Gm37591",0,0,0,1
"Gm2987",0,1,0,0
"Gm25792",0,0,0,0
"Gm18799",0,0,0,0
"Gm7933",0,0,2,0
"Gm23453",0,0,0,0
"Prim2",1304,1141,643,1202
"Gm29228",9,7,3,5
"Gm37618",52,25,15,40
"Gm17813",4,3,1,4
"1700001G17Rik",3,2,1,6
"Gm38173",1,0,2,0
"Rab23",1962,1554,860,1739
"Bag2",357,339,173,345
"Gm37905",6,1,1,5
"Zfp451",4400,3691,2253,4510
"Gm15455",8,3,0,12
"Bend6",62,40,16,50
"Gm37067",1,4,0,4
"Dst",18926,14471,7960,17673
"Gm37354",45,45,26,71
"Gm28631",0,0,0,2
"Gm23792",0,0,0,1
"Gm38157",51,41,25,44
"Mir6896",2,1,2,2
"Gm26788",310,203,155,253
"A930005N03Rik",40,21,18,29
"Gm37958",0,0,0,0
"Gm37385",0,0,0,0
"Gm5266",0,0,0,0
"Gm3052",2,0,1,2
"Gm37233",61,45,22,27
"Mir5103",0,0,0,0
"Ccdc115",527,433,208,483
"Gm28306",9,4,4,11
"Imp4",3646,3088,1679,3368
"Ptpn18",94,94,52,97
"Gm28417",27,25,9,25
"4930568A12Rik",0,0,0,0
"Prss39",0,0,0,0
"Gm28416",0,0,0,0
"Cfc1",19,11,4,8
"Gm28419",2,5,0,2
"Prss40",3,7,1,2
"1700101I19Rik",0,0,0,0
"Amer3",5,2,1,7
"Gm28418",0,0,0,0
"Gm36984",0,0,0,0
"Gm29730",0,0,0,0
"AA619741",0,0,0,1
"Arhgef4",295,266,135,282
"Gm37224",0,0,1,0
"Gm37845",0,1,0,6
"Gm38336",54,62,18,64
"Fam168b",4509,4021,2236,4439
"Gm37127",181,162,92,188
"Plekhb2",440,352,219,410
"Gm19430",0,2,0,1
"Gm37670",1,3,0,2
"Gm8009",0,0,0,0
"Gm38027",0,0,0,0
"Gm25096",0,0,0,0
"Gm37068",0,0,0,1
"Gm25634",0,0,0,0
"Gm28415",0,0,0,0
"1110002O04Rik",0,0,0,0
"Gm8022",0,0,0,0
"Gm37146",0,0,0,0
"Gm33222",6,5,0,2
"4930535G08Rik",2,3,0,0
"Gm38049",1,2,0,0
"Hs6st1",2541,1920,1072,1971
"Gm37335",0,0,0,0
"Gm33280",37,39,20,32
"Uggt1",6124,4969,2734,5587
"Mir6897",5,1,1,5
"Neurl3",2,1,1,3
"Arid5a",162,176,65,126
"4930403P22Rik",7,8,1,18
"Kansl3",2067,1715,959,1884
"Mir6898",0,1,1,0
"Fer1l5",164,149,96,209
"Lman2l",868,768,373,834
"Cnnm4",695,634,372,692
"Gm37909",22,21,6,23
"Gm47280",0,0,0,0
"Cnnm3",1799,1579,734,1619
"Gm38033",0,0,0,0
"Ankrd23",42,35,17,36
"Gm42417",1,0,1,0
"Ankrd39",206,170,79,190
"Sema4c",923,906,532,981
"D430040D24Rik",32,25,20,29
"Fam178b",270,208,85,146
"Gm6428",4,3,0,2
"Gm24133",0,0,0,0
"Cox5b",2340,1980,803,1873
"Actr1b",4275,3594,1757,3926
"4933424G06Rik",3,3,0,1
"Gm33533",1,0,0,0
"Zap70",5,12,10,6
"Gm18828",0,0,0,0
"Tmem131",9857,8192,4974,9507
"Gm37506",9,7,1,7
"Gm38115",47,42,25,57
"F830112A20Rik",121,64,44,89
"Rpl12-ps1",0,0,0,0
"Vwa3b",35,31,15,8
"Gm37020",4,0,0,1
"Cnga3",8,13,9,15
"1700074A21Rik",0,0,0,0
"Inpp4a",539,527,279,508
"4930439A04Rik",2,1,0,0
"Gm37135",1,1,0,0
"Coa5",2916,2559,1419,2752
"Unc50",601,489,284,605
"Mgat4a",719,652,436,800
"4930594C11Rik",13,13,4,11
"Gm43213",3,6,0,7
"2010300C02Rik",38,37,22,31
"4930556I23Rik",0,0,0,0
"4930470B04Rik",0,1,0,1
"Gm19863",0,0,0,1
"Tsga10",167,123,63,145
"Gm26805",3,1,0,2
"Lipt1",214,184,96,197
"Mitd1",488,454,205,470
"Mrpl30",1130,1043,604,1107
"Lyg2",0,0,0,1
"Gm15457",0,0,0,0
"Lyg1",0,0,0,0
"Gm23409",0,0,0,0
"Txndc9",2491,2252,1288,2527
"Eif5b",10483,8958,4524,9598
"Rev1",3524,2980,1558,3298
"Gm37062",91,80,52,93
"Gm5099",1,1,1,0
"Aff3",3369,2801,1836,3892
"Gm16150",38,29,12,33
"Gm16151",23,16,8,25
"Gm16152",38,41,26,63
"Gm34727",15,6,13,13
"Gm38135",0,0,0,0
"2610300A13Rik",0,0,0,0
"Lonrf2",79,40,36,65
"Chst10",856,719,267,430
"Gm37707",9,3,1,2
"Gm6621",1,0,1,2
"Nms",2,1,0,0
"Pdcl3",1592,1310,816,1590
"Gm37309",56,71,33,66
"Gm37821",0,0,1,0
"Gm37091",1,0,0,2
"Mir6349",0,0,0,0
"Npas2",16,5,6,7
"Gm20428",0,0,0,0
"Gm3617",1,1,0,0
"Rpl31",13972,12434,7915,14497
"Tbc1d8",1057,863,409,855
"Gm37265",4,2,2,1
"Gm24826",1,0,0,1
"Cnot11",2606,2231,1296,2606
"Gm15832",80,73,28,56
"Snord89",6,2,3,8
"Rnf149",1272,1079,530,1185
"Gm23722",42,34,16,35
"Gm5100",0,0,0,0
"Creg2",16,7,4,16
"D930019O06Rik",21,14,6,2
"Rfx8",5,8,2,2
"Gm3646",0,0,0,0
"1700066B17Rik",4,1,1,1
"Map4k4",14559,11779,6966,13370
"4930456G14Rik",0,0,0,0
"Il1r2",8,1,3,4
"Gm16894",0,1,0,1
"Gm37347",0,1,1,0
"Il1r1",34,29,22,35
"Gm38070",0,0,0,0
"Il1rl2",33,29,36,43
"Gm17970",0,0,0,0
"Il1rl1",2,3,0,4
"Il18r1",0,0,0,0
"Il18rap",3,2,2,2
"Gm35801",0,0,0,0
"Slc9a4",0,0,0,1
"Gm37435",0,0,0,0
"Slc9a2",9,6,6,4
"Gm37623",0,0,0,0
"Gm37915",0,1,1,0
"Mfsd9",26,19,14,17
"Tmem182",0,0,1,0
"Gm5973",0,0,0,0
"4930448I06Rik",0,0,0,0
"Gm28634",0,0,0,0
"Gm29260",0,0,0,1
"Gm5267",0,0,0,0
"Gm8176",0,0,0,0
"Gm9915",0,0,0,0
"Gm29664",0,0,0,0
"Gm28175",0,0,0,0
"Gm28140",0,0,0,0
"Gm37047",0,0,0,0
"Pantr1",6,2,2,1
"4930420N18Rik",0,0,0,0
"Gm20646",0,0,0,0
"Pou3f3",21,21,6,14
"Pantr2",1,3,2,3
"Dalir",0,0,0,0
"Mrps9",1828,1578,958,1924
"Gm23126",3,3,2,4
"Gpr45",18,16,12,20
"Gm24001",0,0,0,0
"Tgfbrap1",915,761,459,889
"Gm28782",1,2,0,1
"8430432A02Rik",10,6,6,16
"AI597479",1249,974,638,1124
"Fhl2",92,67,24,61
"Gm8210",22,20,9,30
"Gm29040",0,1,0,0
"Gm29610",0,0,0,0
"Gm29041",0,0,0,0
"Nck2",877,733,371,747
"Gm37536",21,18,10,32
"Gm38228",60,55,30,63
"Ecrg4",7,11,3,12
"Gm29155",9,7,6,8
"Gm29157",7,6,4,13
"Gm29156",10,7,7,14
"Uxs1",756,564,391,747
"Gm16103",8,11,0,9
"Gm19587",2,4,2,6
"Gm8241",0,0,0,0
"Gm26352",0,0,0,0
"Gm24180",0,0,0,0
"Tpp2",7209,6201,3738,7451
"Mettl21c",134,119,58,108
"Gm15838",2,2,1,1
"Gm8251",87,77,62,112
"Tex30",761,641,403,822
"Gm29247",0,0,0,0
"Poglut2",1097,1001,648,1267
"Bivm",1336,1130,730,1347
"Ercc5",1868,1590,826,1826
"Mettl21e",1,1,0,1
"Gm15833",1,1,0,0
"Gm5700",0,0,1,0
"Gm28893",1,0,0,2
"Txn-ps1",4,3,2,4
"Gulp1",395,357,248,486
"Gm37626",70,48,44,90
"Gm16102",4,2,2,2
"4930521E06Rik",2,0,2,4
"Gm38110",2,1,2,3
"Gm3489",0,0,0,0
"Gm19480",0,0,0,0
"Gm3496",0,0,0,1
"Gm5268",0,1,0,0
"Col3a1",27,51,17,27
"Gm47302",0,0,0,0
"Col5a2",88,108,30,82
"Gm38211",2,4,2,2
"Gm8296",0,0,1,1
"Gm7063",0,0,0,0
"Gm8304",0,0,0,0
"Gm23216",0,0,0,0
"Gm23974",0,0,0,0
"Gm8307",2,2,0,0
"Gm23984",0,0,0,0
"Wdr75",5671,4932,3091,5921
"Gm28906",7,2,3,2
"Gm5526",0,1,0,0
"Gm5269",1,3,0,1
"Gm18303",6,6,0,4
"Slc40a1",2238,1749,512,966
"Gm9496",0,1,0,0
"Rpl23a-ps1",0,0,0,0
"Gm3852",0,0,0,0
"Stk-ps2",0,0,0,0
"Gm18849",0,2,0,0
"Dnah7b",70,60,34,63
"Gm8326",5,9,2,15
"Dnah7c",21,15,16,20
"Slc39a10",7015,6394,4367,7586
"Gm28151",74,60,35,77
"Gm37393",11,11,6,12
"Gm28527",11,8,3,11
"Gm28825",0,0,0,0
"Gm28826",0,0,0,0
"Gm4852",3,0,0,3
"Gm38090",0,0,0,0
"Mir6350",0,0,0,0
"Gm18117",0,0,0,0
"Gm37196",0,0,1,0
"Gm8337",14,11,6,24
"Gm22419",0,0,0,0
"Gm23829",0,0,0,0
"Gm19206",0,0,0,0
"Gm5974",7,2,3,4
"Gm23240",0,0,0,0
"Gm28830",0,0,0,0
"Gm8354",1,0,0,1
"Gm19124",0,0,0,0
"Gm8357",2,3,2,3
"Gm22693",0,0,0,0
"Gm28740",0,0,0,0
"Gm8367",0,0,0,0
"C230029F24Rik",0,0,0,0
"Gm6757",0,0,0,0
"Gm3605",0,0,0,0
"Gm28388",0,0,0,0
"Gm8384",0,0,0,0
"4933411E06Rik",0,0,1,0
"Gm8391",0,0,0,0
"Gm27330",0,0,0,0
"Gm29665",0,1,0,0
"Gm20118",0,0,0,0
"Gm25843",0,0,0,0
"Gm28321",6,14,2,8
"Tmeff2",58,36,30,62
"Gm28322",0,0,1,1
"Gm25736",0,2,0,0
"Gm28319",0,0,1,0
"Gm28320",2,1,1,6
"Gm29325",0,1,0,2
"9330175M20Rik",0,0,0,1
"Cavin2",0,1,0,0
"Gm5253",0,0,0,0
"1700072G22Rik",0,1,0,0
"Nabp1",2843,2643,1110,2390
"Gm17767",21,11,6,9
"Gm37535",5,1,1,3
"Gm28055",1,1,0,2
"Myo1b",2523,2184,1426,2643
"Gm29453",10,6,7,9
"Gm28323",27,24,6,37
"Gm8419",0,0,0,1
"Gm27607",0,0,0,0
"Gm8420",102,90,38,90
"Stat4",379,326,153,267
"Gm28177",0,1,0,3
"Gm3940",1,0,1,3
"Gm31812",8,11,10,6
"Stat1",196,162,127,219
"Gm18301",1,5,2,4
"Gls",5210,4719,2911,5771
"Gm5975",0,0,0,0
"Gm23460",0,0,0,0
"Nab1",624,610,381,758
"Gm5976",2,3,0,3
"Rps27a-ps1",0,0,0,1
"Gm553",0,0,0,0
"Gm28178",0,0,0,3
"Gm5527",1,1,0,1
