"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-9"
"6720483E21Rik",4,7,3,8
"Paqr8",213,212,291,410
"Gm24171",0,0,1,0
"Gm28064",0,0,1,0
"Efhc1",35,36,54,41
"Tram2",799,747,870,769
"Gm28287",3,2,8,5
"Gm2693",2,1,3,2
"Tmem14a",33,43,54,65
"Gm38224",2,2,1,0
"Gsta3",14,30,12,49
"Gm28836",0,2,3,4
"Gm7094",0,0,0,1
"Gm4956",0,0,0,1
"Gm21909",0,0,0,0
"Khdc1a",1,3,0,1
"Gm16329",1,0,0,0
"Gm16327",0,0,0,0
"Khdc1c",1,3,0,0
"Gm2709",1,0,0,0
"Gm16533",0,0,0,0
"Khdc1b",0,0,1,0
"Gm16328",1,0,0,0
"Kcnq5",522,231,170,37
"Gm36949",12,3,3,0
"Gm7658",25,32,26,34
"Gm38243",17,6,2,2
"Gm5696",0,0,0,0
"Gm28239",0,0,0,0
"Rims1",81,147,106,173
"Gm26866",0,0,1,1
"Gm7761",0,0,0,0
"Gm29506",0,0,0,0
"Ppp1r14bl",0,0,0,0
"Gm24176",0,0,0,0
"Gm6420",1,1,1,1
"Mir30a",6,1,3,4
"Gm27028",5,8,9,8
"Mir30c-2",0,0,0,0
"Gm29107",0,0,2,0
"Gm20954",0,1,0,0
"Ogfrl1",581,555,750,747
"Gm7784",3,5,5,1
"Gm28822",0,0,0,0
"B3gat2",77,70,94,73
"Smap1",1563,1402,1430,1090
"Sdhaf4",127,142,168,165
"Gm26524",0,3,3,1
"Fam135a",2022,1924,2858,2254
"Gm37580",15,13,9,12
"Gm26607",0,0,0,0
"Col9a1",127,103,84,11
"Col19a1",28,35,26,7
"Gm26418",0,0,0,0
"Tubb4b-ps2",2,6,4,5
"Gm28439",0,0,0,0
"Gm10222",2,0,13,14
"Gm28438",55,49,221,220
"Gm28437",0,0,0,1
"Gm10925",0,1,0,2
"Gm28661",0,0,1,0
"Gm29216",2,1,4,3
"Lmbrd1",1086,881,1032,882
"Gm28594",0,0,0,0
"Gm28237",0,0,0,0
"Gm9443",0,0,0,0
"Gm29414",0,0,0,0
"Adgrb3",25,44,85,87
"Gm15702",0,0,0,0
"Gm20172",0,0,2,2
"Gm22260",0,0,0,1
"Gm37543",0,0,0,1
"Gm37331",1,1,4,6
"Gm37211",0,3,0,4
"Gm37862",0,0,0,1
"Gm38286",2,0,1,4
"Gm37880",0,2,2,1
"Gm25294",0,0,0,0
"Gm37011",0,2,3,2
"Gm29214",0,1,0,0
"Gm37051",0,1,0,1
"Gm38260",0,2,3,7
"Gm37628",0,1,5,12
"8030445P17Rik",0,3,5,3
"Gm38198",0,3,6,4
"Gm37077",2,2,7,3
"Gm37895",1,6,8,8
"Gm36952",2,3,11,18
"Gm37602",0,4,12,13
"2900022M07Rik",2,2,0,4
"2900002M20Rik",2,0,2,10
"Gm9884",0,1,3,1
"Gm18443",0,0,0,0
"Gm19123",0,0,0,0
"Gm24064",0,0,0,0
"4931408C20Rik",0,1,0,0
"Gm19641",0,0,0,0
"Gm5524",0,0,0,0
"Gm18776",0,0,0,0
"Gm19028",6,4,8,4
"Gm38089",0,0,0,0
"Gm7846",2,5,12,9
"Gm597",0,0,1,0
"Gm5697",1,1,3,2
"Gm6462",0,0,0,0
"Gm18033",0,0,0,0
"Gm25586",0,0,0,0
"Gm22679",0,0,0,0
"Gm23785",0,0,0,0
"Mir6342",0,0,0,0
"Gm5525",37,22,32,31
"AC125120.1",0,0,0,0
"Gm7858",3,1,1,0
"Gm23771",0,0,0,0
"Gm27430",0,0,0,0
"Gm9898",0,0,0,0
"Gm6473",0,1,1,1
"Gm2914",0,0,0,0
"Phf3",6756,6910,6838,7372
"Gm37522",50,44,64,69
"Gm37906",111,116,188,158
"Ptp4a1",1208,1064,1498,1384
"Gm5698",0,0,0,0
"Gm9458",0,0,0,0
"4931428L18Rik",0,1,3,0
"Gm28644",0,0,0,0
"Gm29128",0,0,0,0
"Gm7893",0,0,0,0
"Lgsn",0,0,0,0
"Pih1d3",0,0,0,0
"Gm26145",0,0,0,0
"Gm4850",0,0,0,0
"Gm28645",0,0,0,0
"Gm6489",0,0,1,0
"Eef1a1-ps2",1,1,0,0
"Gm19680",4,3,4,0
"Gm23032",0,0,0,0
"Gm7910",0,0,0,0
"Khdrbs2",11,15,16,13
"Gm25814",0,0,0,0
"Gm37999",0,0,0,0
"Gm37110",0,0,1,0
"Gm37911",2,0,0,1
"Gm9839",0,0,1,1
"Gm37792",0,0,2,0
"Gm5415",1,1,0,0
"Gm24732",0,0,0,0
"Gm37426",0,0,0,0
"Gm23024",0,0,0,0
"Gm37151",0,0,0,1
"Gm28624",0,0,0,0
"Gm37724",0,0,0,0
"Gm7114",1,1,1,1
"Gm4785",1,0,0,0
"Gm24901",0,0,0,0
"Gm37591",0,0,0,0
"Gm2987",2,0,0,0
"Gm25792",0,0,0,0
"Gm18799",1,0,0,0
"Gm7933",2,2,4,0
"Gm23453",0,0,0,0
"Prim2",1512,1274,1236,1048
"Gm29228",4,2,7,0
"Gm37618",39,23,47,35
"Gm17813",9,6,7,11
"1700001G17Rik",20,12,13,20
"Gm38173",5,1,10,7
"Rab23",1432,1416,1392,1555
"Bag2",906,786,770,533
"Gm37905",10,8,8,4
"Zfp451",3408,3253,3948,3681
"Gm15455",5,9,1,5
"Bend6",53,63,65,62
"Gm37067",2,4,3,1
"Dst",12747,12113,9923,10097
"Gm37354",14,26,16,15
"Gm28631",0,0,0,0
"Gm23792",0,0,1,0
"Gm38157",32,17,25,18
"Mir6896",2,1,4,3
"Gm26788",97,109,143,155
"A930005N03Rik",22,21,19,13
"Gm37958",0,0,0,0
"Gm37385",0,0,0,0
"Gm5266",1,0,0,0
"Gm3052",0,2,0,2
"Gm37233",11,18,14,25
"Mir5103",0,0,0,0
"Ccdc115",562,682,479,406
"Gm28306",4,8,2,3
"Imp4",3114,2865,2558,2426
"Ptpn18",385,312,223,85
"Gm28417",57,67,43,28
"4930568A12Rik",6,3,1,0
"Prss39",3,4,1,0
"Gm28416",2,3,2,0
"Cfc1",887,588,670,99
"Gm28419",104,58,96,14
"Prss40",47,21,23,8
"1700101I19Rik",7,6,11,0
"Amer3",1125,963,786,134
"Gm28418",0,0,0,0
"Gm36984",0,0,0,0
"Gm29730",0,0,0,0
"AA619741",0,0,0,0
"Arhgef4",685,638,446,217
"Gm37224",2,0,0,0
"Gm37845",0,0,0,1
"Gm38336",71,78,63,55
"Fam168b",5406,4725,4601,4045
"Gm37127",186,172,195,168
"Plekhb2",571,456,569,484
"Gm19430",0,0,0,0
"Gm37670",0,0,0,0
"Gm8009",0,0,1,0
"Gm38027",0,0,0,0
"Gm25096",0,0,0,0
"Gm37068",0,1,0,0
"Gm25634",0,0,0,0
"Gm28415",0,0,0,0
"1110002O04Rik",0,0,0,0
"Gm8022",1,1,1,0
"Gm37146",0,0,0,1
"Gm33222",2,1,1,3
"4930535G08Rik",0,0,0,0
"Gm38049",0,0,0,0
"Hs6st1",976,1179,1052,1536
"Gm37335",0,0,0,0
"Gm33280",42,24,29,27
"Uggt1",4758,4623,4570,4488
