,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
Gm2676,5,3,3,0,4,3,3,3,4,7,3,1
Gm44959,0,0,0,1,0,1,0,0,0,0,0,0
Shcbp1,2763,3714,3290,1930,4028,2431,2867,3186,3231,2558,3110,2869
Gm6334,11,11,8,2,12,5,5,12,4,11,10,8
Gm44960,0,0,0,0,0,0,0,0,0,0,0,0
Gm9457,2,2,1,0,3,0,0,0,0,2,1,0
Gm44961,0,0,0,0,0,0,0,0,0,0,0,0
Rpl21-ps14,0,0,2,0,1,1,0,0,3,0,0,1
Gm5739,1,2,0,0,1,0,2,1,1,0,1,0
Slc10a2,0,8,4,4,9,2,1,1,0,0,1,3
Gm5605,0,2,0,2,1,0,3,3,0,3,1,2
Gm44693,2,0,0,0,1,5,3,1,0,0,1,0
Gm6426,2,0,0,0,3,0,0,3,0,0,0,1
Gpi-ps,178,109,81,43,100,79,71,102,98,162,131,102
Gm22565,0,0,0,0,0,0,0,0,0,0,0,0
Gm2734,0,0,0,1,1,0,0,0,1,0,0,0
Gm44843,0,0,0,0,0,0,0,0,0,0,0,0
Gm44842,0,0,0,0,0,0,0,0,0,0,0,0
Gm24288,0,0,0,0,0,0,0,0,0,0,0,0
Gm44844,0,0,0,1,0,0,0,0,0,0,0,0
Gm44909,0,0,0,0,0,0,0,0,0,0,0,0
Gm7506,0,0,0,0,0,0,0,0,0,0,0,0
Gm44911,0,2,2,1,4,2,1,1,1,2,0,4
Gm44910,0,0,0,0,0,0,0,0,0,0,0,0
Gm44908,0,0,0,0,0,0,0,0,0,0,0,0
Gm17215,0,0,0,0,0,0,0,0,0,0,0,0
Gm26427,0,0,0,0,0,0,0,0,0,0,0,0
Gm30954,0,0,0,0,0,0,0,0,0,0,0,0
Gm27585,0,0,0,0,0,0,0,0,0,0,0,0
Gm27545,0,0,0,0,0,0,0,0,0,0,0,0
Gm25169,0,0,0,0,0,0,0,0,0,0,0,0
Gm28262,0,1,1,0,1,3,2,1,0,1,0,3
Gm45160,0,0,0,0,0,0,0,0,0,0,0,0
Gm31135,0,5,4,5,4,0,2,1,0,3,0,3
Gm31401,1,0,0,0,0,0,0,0,0,0,0,0
Gm45076,0,0,0,0,0,0,0,0,0,0,0,0
A630009H07Rik,0,0,0,0,0,0,0,1,0,0,0,0
Gm31343,1,0,0,0,0,0,0,0,0,0,0,0
Gm2448,0,1,3,3,0,0,0,0,0,0,1,1
D530014G21Rik,3,2,2,1,1,0,0,0,0,0,2,0
Gm31463,0,0,0,0,0,0,0,0,0,1,2,2
Gm45075,6,3,6,3,6,0,7,2,3,6,3,2
Efnb2,4046,4290,3933,2254,4362,518,695,408,291,3842,4596,4193
E230020D15Rik,287,294,256,137,400,37,63,40,21,267,370,309
Gm45074,62,68,52,42,88,5,13,5,3,53,69,78
Gm45073,141,201,137,87,212,23,28,16,9,143,208,184
