,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
Gm49135,0,0,0,0,0,0,0,0,0,0,0,0
Gm8114,0,0,0,0,0,0,0,0,0,0,0,0
Gm3141,0,0,0,0,0,0,0,0,0,0,0,0
Gm49141,0,0,0,0,0,0,0,0,0,0,0,0
Gm7233,0,0,0,0,0,0,0,0,0,0,0,0
Gm7316,0,0,0,0,0.2322,0,0,0,0,0,0,0
Gm8122,0,0,0,0,0,0,0,0,0,0,0,0.0921
Gm49146,0,0.095,0,0.1009,0,0,0,0.0552,0,0,0,0
Gm8126,0.0649,0,0,0,0,0.0981,0,0,0.0843,0.067,0.072,0.0733
Gm9732,0.1292,0.4955,0.4378,0.243,0.466,1.5609,1.0827,0.8411,0.8944,0.1776,0.1432,0.4858
Gm17153,0,0,0,0,0.2109,0.7064,0.28,0,0,0,0,0
Gm8127,0,0,0,0,0,0,0,0,0,0,0,0
Gm17155,0,0.6433,0.2463,0,0.4369,0.7318,0.2901,0.4981,0.9434,0,0,0.8199
Gm17154,0.2658,0.4707,0.5405,0,0.7193,1.6061,1.2733,0.2733,1.0354,0.5484,0,0
1700001F09Rik,0,0.1147,0.1318,0.2438,0,0,0.4656,0.3998,0.3365,0,0,0
Gm9597,0,0,0.084,0,0,0,0.0989,0.1699,0,0,0,0.0932
Gm49315,0,0,0,0,0,0,0,0,0,0,0,0
Gm8138,0,0,0,0,0,0,0,0,0,0,0,0
Gm49072,0,0,0,0,0,0,0,0,0,0,0,0
Gm21162,0,0,0,0,0,0,0,0,0,0,0,0
Gm5799,0,0,0,0,0,0,0,0,0,0,0,0
Gm3216,0,0,0,0,0,0.3561,0.2823,0,0,0,0,0
Gm17654,0,0,0,0,0,0,0,0,0.212,0,0,0
Gm3221,0,0,0,0,0,0,0,0,0,0,0,0
Gm10375,0,0,0,0,0,0,0,0,0,0,0,0
Gm8046,0,0,0,0,0,0,0,0,0,0,0,0
Gm21154,0,0,0,0,0,0,0,0,0,0,0,0
Gm8161,0,0,0,0,0,0,0,0,0,0,0,0
Gm8165,0,0,0,0,0,0,0.0977,0,0,0,0,0
Gm7324,0.056,0.4957,0.3416,1.58,0.2525,0.2538,0.2682,0.6909,0.5816,0.0578,0.0621,0.0632
Gm9672,0,0,0,0,0,0,0,0,0,0,0,0
Gm17208,0,0,0,0.4028,0,0,0,0,0,0,0,0.2416
Gm16506,0,0,0,0,0,0,0.0976,0,0,0,0,0
Gm49078,0,0,0,0,0,0,0,0,0,0,0,0
Gm49080,0,0,0,0,0,0,0,0,0,0,0,0
Gm6526,0,0,0.0676,0,0.12,0,0,0.2051,0,0.0686,0.0737,0.075
Gm49965,0,0,0,0,0,0,0,0,0,0,0.0814,0
Gm9587,0,0,0,0,0,0,0,0,0,0,0,0
Gm8180,0,0,0,0,0,0,0,0,0,0,0,0.0929
Gm49082,0,0.231,0,0,0,0,0,0,0,0,0,0
Gm49081,0,0,0,0,0,0,0,0,0,0,0,0
Gm41138,0,0,0,0,0,0,0,0,0,0,0,0
Gm49083,0.3362,0.0851,0,0,0.1733,0,0,0,0,0.2478,0.1065,0.1626
Ear1,0,0,0,0,0,0,0,0,0,0,0,0
Ear-ps12,0,0,0,0,0,0,0,0,0,0,0,0
Ang-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Ear-ps9,0,0,0,0,0,0,0,0,0,0,0,0
Ear-ps8,0,0,0,0,0,0,0,0,0,0,0,0
Ang-ps3,0,0,0,0,0,0,0,0,0,0,0,0
Ear10,0,0,0,0,0,0,0,0,0,0,0.1873,0
Gm8113,4.9259,0.7083,0.6422,0.6336,1.0634,0.2544,0.3529,0.3896,0.0547,2.8231,6.0204,2.7556
Gm9550,0,0,0,0,0,0,0,0,0,0.1371,0.1473,0.15
Ang5,0,0,0,0,0,0,0,0,0,0,0,0
Ear-ps7,0,0,0,0,0,0,0,0,0,0,0,0
Gm49087,0.0389,0.0344,0,0,0,0,0,0,0,0,0.0862,0.0877
Ear-ps10,0,0,0,0,0,0,0,0,0,0,0,0
Ang6,0,0,0,0,0,0,0,0,0,0,0,0
Gm8194,0,0,0,0,0,0,0,0,0,0,0,0
Gm3287,0,0,0,0,0,0,0,0,0,0,0,0
Ear-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Ang-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Gm49099,0,0,0,0,0,0,0,0,0,0,0,0
Gm16545,0,0,0,0,0,0,0,0,0,0,0,0
Gm49101,0,0,0,0,0,0,0,0,0,0,0,0.1212
Ear2,0,0,0,0,0,0,0,0,0,0,0,0
Gm49102,0,0,0,0,0.036,0,0,0.041,0.0518,0,0,0
Gm49103,0,0,0,0,0,0,0,0,0,0,0,0
Gm18216,0,0,0,0,0,0,0,0,0,0,0,0
Gm3327,0,0,0,0,0,0,0,0,0,0,0,0
Gm8207,0,0,0,0,0,0,0,0,0,0,0,0
4930503E14Rik,0,0.0523,0.1202,0.1112,0.0533,0,0.1416,0,0.0768,0.122,0.1311,0
1700047E10Rik,0,0,0,0,0,0,0,0,0.2619,0,0,0.2276
Gm8212,0,0,0,0,0,0.1233,0.0977,0,0,0,0,0
Gm49104,0,0,0,0,0,0,0,0,0,0,0,0
Gm32857,0,0.1422,0.4082,0.302,0.0724,0.2426,0.4807,0.1651,0,0.0828,0.089,0.1812
Gm49110,0,0,0,0,0,0,0,0,0,0,0,0
Gm6532,0,0.1814,0.2084,0,0.1849,0,0.4909,0.2107,0,0.2114,0.2272,0.6938
Gm49111,0,0,0,0,0,0,0,0,0,0,0,0
Gm8220,0,0,0.1582,0,0.2105,0.1175,0,0,0.101,0.0802,0,0
Gm49109,0,0.3272,0,0,0.6667,0.5583,0,0,0.4798,0,0,0.834
Gm8224,0,0.4082,0.2344,0,0.6238,0,0.5521,0.237,0.2993,0,0.2555,0
Gm5930,0,0.0581,0,0,0,0.0991,0.0786,0.2024,0,0.2707,0,0.1481
Gm8229,0,0,0,0,0,0,0,0,0,0,0,0
Gm3370,0,0,0,0,0,0,0,0,0,0,0,0
Gm3371,0,0,0,0,0,0,0,0,0,0,0,0
Gm8232,0,0,0,0,0,0,0,0.084,0,0,0,0
Gm49779,0,0,0,0,0.1395,0,0,0,0,0,0,0.1745
Gm21991,0,0,0,0,0,0,0,0,0,0,0,0
Gm17184,0.072,0.0638,0.0733,0,0,0.3265,0,0.0741,0.1871,0,0.1597,0.1626
BC061237,0,0,0,0,0,0,0,0,0,0,0.0842,0
Gm17093,0,0,0,0,0,0,0,0.1678,0,0.0842,0,0.1842
Gm17183,0,0,0.2363,0,0.2096,0,0,0,0,0,0,0
AC160336.1,0.0049,0.0196,0.0113,0.0324,0.0288,0.0242,0.0236,0.0329,0.0303,0.0101,0.015,0.018
Gm5624,0,0,0,0,0,0,0,0,0,0,0,0
Gm8247,0,0,0,0,0,0,0,0,0,0,0,0
Gm16439,0,0,0,0,0,0,0,0,0,0,0,0
Gm8256,0,0,0,0,0,0,0,0,0,0,0,0
Gm9593,0,0,0,0,0,0,0,0,0,0,0,0
Gm8257,0,0,0,0,0,0,0,0,0,0,0,0
Gm21754,0,0,0,0,0,0,0,0,0,0,0,0
Gm6541,0,0,0,0,0,0,0,0,0,0,0,0
Gm8267,0,0,0,0,0,0,0,0,0,0,0,0
Gm34060,0,0,0,0,0,0,0,0,0,0,0,0
Gm49142,0,0,0,0,0,0,0,0,0,0,0,0
Gm17187,0,0,0,0,0,0,0,0,0,0,0,0
Gm49143,0,0,0,0,0,0,0,0,0,0,0,0
Gm17070,0,0,0,0,0,0,0,0,0,0,0,0
Gm49145,0,0.1162,0,0,0.2367,0,0.1572,0.1349,0,0,0,0
