"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zdbf2",9170.06522257033,0.369125189835957,0.124143862308321,2.97336640710601,0.00294552597922821,0.241313928363375
"Gm26073",18.7058505323342,-1.47138113482466,0.495533711541822,-2.96928564203341,0.00298492987444913,0.243409975965495
"Zmym2",6175.81754586036,0.294505637612541,0.0994514039473382,2.96130196179521,0.00306341431885945,0.248658893144656
"Helz2",378.864943800128,-0.780130830052457,0.263687789033211,-2.95853984332282,0.0030910028036123,0.249747354967097
"Xiap",2734.86981857742,0.270268578484076,0.0915703276745731,2.95148641866358,0.0031624845354642,0.251704773185343
"4933402E13Rik",51.4516699121457,-1.2600198050375,0.427102357976932,-2.95015885888778,0.00317610576909455,0.251704773185343
"Wdr83",545.02965999862,-0.246442080767744,0.083520230948435,-2.95068725228857,0.00317067787236087,0.251704773185343
"Znrf1",1226.93653760587,-0.512569621725713,0.173803557466405,-2.9491319349133,0.00318667902920016,0.251704773185343
"Acaa1a",550.576634157194,-0.393259811335519,0.133185693466513,-2.95271812684893,0.00314989441427134,0.251704773185343
"Cyp2b23",89.8324456194564,1.16896248661759,0.396880116683256,2.94537931601779,0.00322558954502476,0.253640777884224
"Nap1l4",3520.44146260482,-0.176490096611266,0.060037604063818,-2.93965922463633,0.00328573400411768,0.257221861104572
"Gm43323",29.8520035048597,-1.06663724920819,0.363305798496146,-2.9359213467646,0.00332558632020035,0.258047918255546
"Fgfr2",1119.11706840581,-1.04103894788455,0.354533476065548,-2.93636290552173,0.00332085570852099,0.258047918255546
"Aldh16a1",1023.13679156957,-0.312314851038001,0.106428182722844,-2.9345126736902,0.00334071910072857,0.25808520280804
"Gcc1",489.300287756242,-0.23878537595642,0.0814287872801488,-2.93244421208066,0.00336305337679798,0.258196251724341
"Med13",5540.41735487009,0.272583379202052,0.0929789507583453,2.93166761916365,0.00337147370822065,0.258196251724341
"Gm16156",12.9995969675829,-0.868488302872616,0.296795925582444,-2.92621369773948,0.00343115159261875,0.261629022304704
"Cab39",2989.14996652654,0.162828793746824,0.0557812067861643,2.91906186918872,0.00351086535578263,0.265409366423842
"Homer1",1778.30380744992,0.376179731058428,0.128865714082319,2.91916072275148,0.00350975215120551,0.265409366423842
"Gm37494",1224.76657360201,0.453639657052148,0.155893034881478,2.90994179051707,0.00361496076460043,0.2721107645627
"Fgf1",86.5793342822761,1.39489503172484,0.48053087843757,2.90282080573114,0.00369818175164962,0.277190524993857
"Plin3",1902.70005812604,-0.237301356436633,0.0818059505957246,-2.90078355802438,0.00372230888305565,0.277816731636196
"Tmem116",58.4069517939117,-0.512875428689942,0.177798160718846,-2.88459355606585,0.0039191928853267,0.291277061106095
"Cactin",1302.19847548228,-0.292249631484523,0.101436929021083,-2.88109699598438,0.00396293664029947,0.291464832390344
